2024-08-05 02:41:09.690 | INFO     | get_all_play:get_all_play:73 - Week: 8
2024-08-05 02:42:29.837 | INFO     | get_all_play:get_all_play:73 - Week: 9
2024-08-05 02:44:13.310 | INFO     | get_all_play:get_all_play:73 - Week: 10
2024-08-05 02:45:41.152 | INFO     | get_all_play:get_all_play:73 - Week: 11
2024-08-05 02:47:29.909 | INFO     | get_all_play:get_all_play:73 - Week: 12
2024-08-05 02:48:50.402 | INFO     | get_all_play:get_all_play:73 - Week: 13
2024-08-05 02:50:21.332 | INFO     | get_all_play:get_all_play:73 - Week: 14
2024-08-05 02:51:41.398 | INFO     | get_all_play:get_all_play:73 - Week: 15
2024-08-05 02:52:57.403 | INFO     | get_all_play:get_all_play:73 - Week: 16
2024-08-05 02:54:12.687 | INFO     | get_all_play:get_all_play:73 - Week: 17
2024-08-05 02:57:03.792 | INFO     | get_weekly_results:get_weekly_stats:108 - Week: 17
2024-08-12 02:29:29.537 | INFO     | get_all_play:get_all_play:73 - Week: 1
2024-08-12 02:31:16.964 | INFO     | get_all_play:get_all_play:73 - Week: 2
2024-08-12 02:33:04.336 | INFO     | get_all_play:get_all_play:73 - Week: 3
2024-08-12 02:34:53.421 | INFO     | get_all_play:get_all_play:73 - Week: 4
2024-08-12 02:35:58.446 | INFO     | get_all_play:get_all_play:73 - Week: 5
2024-08-12 02:37:10.681 | INFO     | get_all_play:get_all_play:73 - Week: 6
2024-08-12 02:38:26.115 | INFO     | get_all_play:get_all_play:73 - Week: 7
2024-08-12 02:39:31.363 | INFO     | get_all_play:get_all_play:73 - Week: 8
2024-08-12 02:41:22.899 | INFO     | get_all_play:get_all_play:73 - Week: 9
2024-08-12 02:42:47.838 | INFO     | get_all_play:get_all_play:73 - Week: 10
2024-08-12 02:44:29.729 | INFO     | get_all_play:get_all_play:73 - Week: 11
2024-08-12 02:46:03.592 | INFO     | get_all_play:get_all_play:73 - Week: 12
2024-08-12 02:47:46.579 | INFO     | get_all_play:get_all_play:73 - Week: 13
2024-08-12 02:49:11.822 | INFO     | get_all_play:get_all_play:73 - Week: 14
2024-08-12 02:50:33.889 | INFO     | get_all_play:get_all_play:73 - Week: 15
2024-08-12 02:51:52.852 | INFO     | get_all_play:get_all_play:73 - Week: 16
2024-08-12 02:53:11.161 | INFO     | get_all_play:get_all_play:73 - Week: 17
2024-08-12 02:54:46.509 | INFO     | get_all_play:get_all_play:73 - Week: 18
2024-08-12 02:57:11.796 | INFO     | get_weekly_results:get_weekly_stats:108 - Week: 18
2024-08-19 02:30:01.996 | INFO     | get_all_play:get_all_play:73 - Week: 1
2024-08-19 02:31:28.614 | INFO     | get_all_play:get_all_play:73 - Week: 2
2024-08-19 02:32:49.987 | INFO     | get_all_play:get_all_play:73 - Week: 3
2024-08-19 02:34:02.932 | INFO     | get_all_play:get_all_play:73 - Week: 4
2024-08-19 02:35:11.679 | INFO     | get_all_play:get_all_play:73 - Week: 5
2024-08-19 02:36:30.703 | INFO     | get_all_play:get_all_play:73 - Week: 6
2024-08-19 02:37:38.451 | INFO     | get_all_play:get_all_play:73 - Week: 7
2024-08-19 02:39:30.194 | INFO     | get_all_play:get_all_play:73 - Week: 8
2024-08-19 02:41:18.734 | INFO     | get_all_play:get_all_play:73 - Week: 9
2024-08-19 02:42:47.817 | INFO     | get_all_play:get_all_play:73 - Week: 10
2024-08-19 02:44:23.078 | INFO     | get_all_play:get_all_play:73 - Week: 11
2024-08-19 02:45:42.915 | INFO     | get_all_play:get_all_play:73 - Week: 12
2024-08-19 02:47:13.083 | INFO     | get_all_play:get_all_play:73 - Week: 13
2024-08-19 02:48:35.607 | INFO     | get_all_play:get_all_play:73 - Week: 14
2024-08-19 02:49:55.996 | INFO     | get_all_play:get_all_play:73 - Week: 15
2024-08-19 02:51:33.003 | INFO     | get_all_play:get_all_play:73 - Week: 16
2024-08-19 02:52:59.626 | INFO     | get_all_play:get_all_play:73 - Week: 17
2024-08-19 02:54:20.526 | INFO     | get_all_play:get_all_play:73 - Week: 18
2024-08-19 02:55:29.925 | INFO     | get_all_play:get_all_play:73 - Week: 19
2024-08-19 02:58:12.083 | INFO     | get_weekly_results:get_weekly_stats:108 - Week: 19
2024-08-26 08:36:39.783 | INFO     | get_all_play:get_all_play:73 - Week: 1
2024-08-26 08:38:45.772 | INFO     | get_all_play:get_all_play:73 - Week: 2
2024-08-26 08:41:15.779 | INFO     | get_all_play:get_all_play:73 - Week: 3
2024-08-26 08:44:45.683 | INFO     | get_all_play:get_all_play:73 - Week: 4
2024-08-26 08:47:06.903 | INFO     | get_all_play:get_all_play:73 - Week: 5
2024-08-26 08:50:09.494 | INFO     | get_all_play:get_all_play:73 - Week: 6
2024-08-26 08:52:50.866 | INFO     | get_all_play:get_all_play:73 - Week: 7
2024-08-26 08:56:04.103 | INFO     | get_all_play:get_all_play:73 - Week: 8
2024-08-26 08:58:32.778 | INFO     | get_all_play:get_all_play:73 - Week: 9
2024-08-26 09:04:15.142 | INFO     | get_all_play:get_all_play:73 - Week: 10
2024-08-26 09:08:42.147 | INFO     | get_all_play:get_all_play:73 - Week: 11
2024-08-26 09:11:28.573 | INFO     | get_all_play:get_all_play:73 - Week: 12
2024-08-26 09:13:46.439 | INFO     | get_all_play:get_all_play:73 - Week: 13
2024-08-26 09:15:32.798 | INFO     | get_all_play:get_all_play:73 - Week: 14
2024-08-26 09:17:18.002 | INFO     | get_all_play:get_all_play:73 - Week: 15
2024-08-26 09:18:46.834 | INFO     | get_all_play:get_all_play:73 - Week: 16
2024-08-26 09:20:06.344 | INFO     | get_all_play:get_all_play:73 - Week: 17
2024-08-26 09:21:39.452 | INFO     | get_all_play:get_all_play:73 - Week: 18
2024-08-26 09:23:18.674 | INFO     | get_all_play:get_all_play:73 - Week: 19
2024-08-26 09:25:01.635 | INFO     | get_all_play:get_all_play:73 - Week: 20
2024-08-26 09:38:25.723 | INFO     | get_weekly_results:get_weekly_stats:108 - Week: 20
