,Unnamed: 0,Round,Pick,Player,Team_x,Overall_Pick_x,Team_y,ESPNID,GP,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,Overall_Pick_y,BLSV,ER,ERA,GS,HLD,IP,K,K/BB,L,SV,W,W%,WHIP,OPS_Weighted,R_Rank,H_Rank,HR_Rank,RBI_Rank,SB_Rank,OPS_Rank,WAR_Rank,BLSV_Rank,ER_Rank,ERA_Rank,GS_Rank,HLD_Rank,IP_Rank,K_Rank,K/BB_Rank,L_Rank,SV_Rank,W_Rank,W%_Rank,WHIP_Rank,OPS_Weighted_Rank,Median_Power_Score,Median_Power_Rank,Median_Pick_Power,Median_Pick_Rank,Mean_Power_Score,Mean_Power_Rank,Mean_Pick_Power,Mean_Pick_Rank,Avg_Rank
24,0,3,1.0,Bryce Harper,¯\_(ツ)_/¯,-6.0,,30951.0,64.0,242.0,49.0,77.0,21.0,1.0,15.0,48.0,26.0,3.0,52.0,9.0,2.0,0.318,0.385,0.599,0.985,2.6,,,,,,,,,,,,,,,238.37,94.5,144.0,64.5,81.0,49.5,10.0,63.5,,,,,,,,,,,,,,127.0,72.75,57.0,,,73.91666666666667,40.0,,,43.5
25,1,3,2.0,Gerrit Cole,$LZ to $15 $...,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,3,3.0,Max Scherzer,Hooked On Kw...,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,3,4.0,Ozzie Albies,The Rosterba...,-3.0,,33783.0,62.0,242.0,34.0,59.0,15.0,0.0,8.0,33.0,15.0,2.0,46.0,3.0,5.0,0.244,0.289,0.405,0.6940000000000001,0.8,,,,,,,,,,,,,,,167.948,171.5,196.0,160.0,167.0,152.0,218.0,175.0,,,,,,,,,,,,,,199.0,169.25,162.0,,,177.41666666666666,150.0,,,155.0
28,4,3,5.0,Aaron Judge,#LagrastaWeek,-2.0,,33192.0,113.0,424.0,96.0,126.0,19.0,0.0,46.0,100.0,66.0,4.0,128.0,12.0,1.0,0.297,0.3939999999999999,0.667,1.061,6.9,,,,,,,,,,,,,,,449.864,1.0,10.0,1.0,1.0,31.5,6.0,1.0,,,,,,,,,,,,,,1.0,3.5,1.0,,,8.416666666666666,1.0,,,1.0
29,5,3,6.0,Teoscar Hernández,Grand Salami...,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6,3,7.0,Brandon Woodruff,Hooked On Kw...,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7,3,8.0,Walker Buehler,Ian Cumsler,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,3,9.0,Matt Olson,Former 2A Hi...,2.0,,32767.0,118.0,457.0,61.0,115.0,36.0,0.0,25.0,79.0,57.0,3.0,125.0,0.0,0.0,0.252,0.337,0.495,0.8320000000000001,2.7,,,,,,,,,,,,,,,380.2240000000001,40.0,27.0,14.5,8.0,786.5,43.5,57.5,,,,,,,,,,,,,,9.0,33.5,18.0,,,153.25,120.0,,,67.5
33,9,3,10.0,Starling Marte,Midas Well,3.0,,30830.0,99.0,397.0,65.0,114.0,20.0,4.0,12.0,51.0,22.0,9.0,85.0,15.0,7.0,0.287,0.3389999999999999,0.4479999999999999,0.787,3.0,,,,,,,,,,,,,,,312.439,24.5,29.0,94.5,66.0,19.5,90.0,47.5,,,,,,,,,,,,,,44.0,47.5,29.0,,,53.916666666666664,20.0,,,22.0
34,10,3,11.0,Shane Bieber,SQUEEZE AGS,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,11,3,12.0,Lucas Giolito,Dookie Butts,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,4,1.0,Cedric Mullins,Dookie Butts,-4.0,,35578.0,113.0,445.0,61.0,117.0,26.0,1.0,11.0,49.0,34.0,6.0,85.0,25.0,7.0,0.263,0.32,0.4,0.72,2.8,,,,,,,,,,,,,,,320.4,40.0,24.5,114.5,74.0,3.5,170.0,53.5,,,,,,,,,,,,,,36.0,57.0,39.5,,,71.08333333333333,38.0,,,36.0
37,1,4,2.0,Trevor Story,SQUEEZE AGS,-3.0,,32150.0,81.0,307.0,49.0,68.0,17.0,0.0,15.0,58.0,28.0,3.0,105.0,10.0,0.0,0.221,0.289,0.423,0.713,2.2,,,,,,,,,,,,,,,218.891,94.5,167.0,64.5,41.5,43.0,181.5,84.5,,,,,,,,,,,,,,148.0,79.5,67.0,,,98.66666666666667,66.0,,,64.5
38,2,4,3.0,Tim Anderson,Midas Well,-2.0,,33184.0,79.0,332.0,50.0,100.0,13.0,0.0,6.0,25.0,14.0,5.0,55.0,13.0,0.0,0.301,0.3389999999999999,0.395,0.7340000000000001,1.3,,,,,,,,,,,,,,,243.68800000000005,84.5,62.5,205.5,214.5,27.0,148.0,136.5,,,,,,,,,,,,,,119.0,116.25,103.5,,,123.66666666666667,86.5,,,93.5
39,3,4,4.0,Wander Franco,Former 2A Hi...,-1.0,,40929.0,58.0,227.0,34.0,59.0,12.0,2.0,5.0,23.0,17.0,0.0,26.0,5.0,0.0,0.26,0.308,0.396,0.7040000000000001,1.6,,,,,,,,,,,,,,,159.80800000000002,171.5,196.0,231.5,234.5,106.0,198.0,109.5,,,,,,,,,,,,,,211.0,197.0,199.0,,,189.58333333333334,169.0,,,183.5
40,4,4,5.0,Julio Urías,Ian Cumsler,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,4,6.0,Aaron Nola,Hooked On Kw...,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,6,4,7.0,Tyler O'Neill,Grand Salami...,2.0,,34168.0,67.0,241.0,36.0,55.0,8.0,1.0,7.0,40.0,22.0,4.0,78.0,8.0,4.0,0.228,0.298,0.357,0.655,0.3,,,,,,,,,,,,,,,157.85500000000002,158.0,212.5,182.0,124.5,56.0,268.0,239.5,,,,,,,,,,,,,,213.0,170.0,163.5,,,166.83333333333334,137.0,,,150.0
43,7,4,8.0,Jose Altuve,#LagrastaWeek,3.0,,31662.0,101.0,379.0,65.0,106.0,26.0,0.0,20.0,42.0,47.0,7.0,62.0,10.0,1.0,0.28,0.369,0.507,0.875,3.3,,,,,,,,,,,,,,,331.625,24.5,48.5,30.5,112.0,43.0,28.5,40.5,,,,,,,,,,,,,,27.0,36.75,20.0,,,47.833333333333336,17.0,,,17.5
44,8,4,9.0,Eloy Jiménez,The Rosterba...,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,9,4,10.0,George Springer,Hooked On Kw...,5.0,,32078.0,91.0,346.0,61.0,88.0,15.0,2.0,18.0,49.0,37.0,6.0,73.0,10.0,1.0,0.254,0.3329999999999999,0.465,0.799,2.7,,,,,,,,,,,,,,,276.454,40.0,106.5,38.0,74.0,43.0,75.0,57.5,,,,,,,,,,,,,,80.0,58.5,41.5,,,62.75,29.0,,,32.0
46,10,4,11.0,Zack Wheeler,$LZ to $15 $...,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,11,4,12.0,Pete Alonso,¯\_(ツ)_/¯,7.0,,37498.0,116.0,430.0,66.0,119.0,22.0,0.0,29.0,97.0,47.0,10.0,100.0,2.0,1.0,0.2769999999999999,0.356,0.53,0.8859999999999999,3.2,,,,,,,,,,,,,,,380.98,20.5,20.5,6.0,2.0,191.0,22.0,44.0,,,,,,,,,,,,,,8.0,20.5,11.0,,,43.666666666666664,14.0,,,12.5
48,0,5,1.0,Robbie Ray,¯\_(ツ)_/¯,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,5,2.0,Charlie Morton,$LZ to $15 $...,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,5,3.0,Kris Bryant,Hooked On Kw...,0.0,,33172.0,42.0,160.0,28.0,49.0,12.0,0.0,5.0,14.0,17.0,2.0,27.0,0.0,0.0,0.306,0.376,0.475,0.851,0.5,,,,,,,,,,,,,,,136.16,213.5,231.0,231.5,301.0,786.5,36.0,213.5,,,,,,,,,,,,,,236.0,231.25,236.0,,,299.9166666666667,278.0,,,257.5
51,3,5,4.0,Randy Arozarena,The Rosterba...,1.0,,36488.0,110.0,422.0,50.0,108.0,25.0,2.0,16.0,61.0,31.0,7.0,114.0,21.0,10.0,0.256,0.317,0.4379999999999999,0.755,1.8,,,,,,,,,,,,,,,318.61,84.5,44.5,54.0,31.0,7.5,122.0,100.0,,,,,,,,,,,,,,38.0,49.25,31.0,,,57.25,24.0,,,29.0
52,4,5,5.0,Paul Goldschmidt,#LagrastaWeek,2.0,,31027.0,109.0,408.0,81.0,134.0,31.0,0.0,29.0,92.0,58.0,2.0,99.0,5.0,0.0,0.3279999999999999,0.412,0.618,1.03,6.1,,,,,,,,,,,,,,,420.24,3.5,5.0,6.0,4.0,106.0,7.0,2.5,,,,,,,,,,,,,,3.0,5.5,2.0,,,21.916666666666668,5.0,,,3.0
53,5,5,6.0,Freddy Peralta,Grand Salami...,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6,5,7.0,Salvador Perez,Rickie Flower,4.0,,31127.0,76.0,300.0,34.0,67.0,16.0,1.0,17.0,53.0,10.0,5.0,86.0,0.0,0.0,0.223,0.259,0.4529999999999999,0.713,1.2,,,,,,,,,,,,,,,213.9,171.5,171.0,43.5,64.0,786.5,181.5,145.0,,,,,,,,,,,,,,155.0,171.25,165.0,,,236.33333333333334,222.0,,,192.0
55,7,5,8.0,Josh Hader,Ian Cumsler,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,8,5,9.0,Sandy Alcantara,Former 2A Hi...,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,9,5,10.0,Liam Hendriks,Midas Well,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,10,5,11.0,Austin Riley,SQUEEZE AGS,8.0,,34982.0,116.0,456.0,69.0,132.0,34.0,2.0,30.0,74.0,37.0,10.0,122.0,2.0,0.0,0.289,0.354,0.57,0.925,4.6,,,,,,,,,,,,,,,421.8,16.0,6.0,4.0,11.0,191.0,14.0,11.0,,,,,,,,,,,,,,2.0,12.5,5.0,,,40.333333333333336,12.0,,,7.0
59,11,5,12.0,Byron Buxton,Dookie Butts,9.0,,32655.0,88.0,328.0,61.0,75.0,13.0,3.0,28.0,51.0,30.0,7.0,112.0,5.0,0.0,0.2289999999999999,0.306,0.5429999999999999,0.8490000000000001,3.9,,,,,,,,,,,,,,,278.47200000000004,40.0,149.5,8.0,66.0,106.0,37.0,21.0,,,,,,,,,,,,,,78.0,53.0,34.0,,,67.75,35.0,,,31.0
60,0,6,1.0,José Abreu,Dookie Butts,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,6,2.0,J.D. Martinez,SQUEEZE AGS,1.0,,31065.0,100.0,386.0,55.0,107.0,34.0,0.0,9.0,46.0,37.0,5.0,106.0,0.0,0.0,0.2769999999999999,0.344,0.435,0.779,0.7,,,,,,,,,,,,,,,300.694,58.5,46.5,143.5,91.5,786.5,101.0,186.0,,,,,,,,,,,,,,54.0,96.25,86.0,,,204.58333333333334,187.0,,,138.0
62,2,6,3.0,Nolan Arenado,Midas Well,2.0,,31261.0,107.0,405.0,58.0,120.0,28.0,1.0,25.0,73.0,40.0,4.0,59.0,2.0,3.0,0.296,0.363,0.556,0.918,6.1,,,,,,,,,,,,,,,371.79,48.0,17.5,14.5,13.5,191.0,16.0,2.5,,,,,,,,,,,,,,13.0,16.75,8.0,,,50.083333333333336,19.0,,,15.0
63,3,6,4.0,Alex Bregman,Former 2A Hi...,3.0,,34886.0,113.0,403.0,66.0,105.0,30.0,0.0,16.0,66.0,64.0,6.0,58.0,0.0,1.0,0.261,0.366,0.4539999999999999,0.82,3.0,,,,,,,,,,,,,,,330.46,20.5,51.5,54.0,22.0,786.5,51.5,47.5,,,,,,,,,,,,,,28.0,51.5,33.0,,,164.33333333333334,135.0,,,81.0
64,4,6,5.0,Corey Seager,Ian Cumsler,4.0,,32691.0,110.0,429.0,63.0,107.0,15.0,1.0,26.0,59.0,46.0,5.0,76.0,3.0,0.0,0.249,0.326,0.471,0.797,3.5,,,,,,,,,,,,,,,341.913,32.0,46.5,11.5,37.0,152.0,78.0,30.5,,,,,,,,,,,,,,20.0,41.75,27.0,,,59.5,26.0,,,27.5
