_id,Week,Team,Team_Expected_Wins,Opponent,Opponent_Expected_Wins,Matchup_Difference,Matchup_Power,Team_Number,Player_Name
646b4b8e2e277d85aaa61bde,1,#Justice4GallenBird,7.318181818181818,¯\_(ツ)_/¯,5.1818181818181825,2.14,12.5,1,Taylor
646b4b8e2e277d85aaa61bdf,1,Moniebol 🐳 (BUY $ASO),5.863636363636364,scoopski potatoes,4.409090909090909,1.45,10.27,2,Austin
646b4b8e2e277d85aaa61be0,1,Vinnie Pepperonis,3.318181818181818,The Slobberknockers,5.681818181818182,-2.36,9.0,3,Kurtis
646b4b8e2e277d85aaa61be1,1,…beep…..beep…….beep,6.999999999999999,Camp Lejeune,6.909090909090909,0.09,13.91,4,Bryant
646b4b8e2e277d85aaa61be2,1,[ABN] Rain,7.409090909090908,The Rosterbation Station,6.181818181818182,1.23,13.59,5,Greg
646b4b8e2e277d85aaa61be3,1,The Slobberknockers,5.681818181818182,Vinnie Pepperonis,3.318181818181818,2.36,9.0,6,Josh
646b4b8e2e277d85aaa61be4,1,Ian Cumsler,7.3181818181818175,Movin’ On Up,5.409090909090909,1.91,12.73,7,Eric
646b4b8e2e277d85aaa61be5,1,Movin’ On Up,5.409090909090909,Ian Cumsler,7.3181818181818175,-1.91,12.73,8,David
646b4b8e2e277d85aaa61be6,1,Camp Lejeune,6.909090909090909,…beep…..beep…….beep,6.999999999999999,-0.09,13.91,9,Jamie
646b4b8e2e277d85aaa61be7,1,The Rosterbation Station,6.181818181818182,[ABN] Rain,7.409090909090908,-1.23,13.59,10,Kevin
646b4b8e2e277d85aaa61be8,1,scoopski potatoes,4.409090909090909,Moniebol 🐳 (BUY $ASO),5.863636363636364,-1.45,10.27,11,Mikey
646b4b8e2e277d85aaa61be9,1,¯\_(ツ)_/¯,5.1818181818181825,#Justice4GallenBird,7.318181818181818,-2.14,12.5,12,Cooch
646b4bb22e277d85aaa61beb,2,#Justice4GallenBird,6.772727272727272,[ABN] Rain,7.409090909090909,-0.64,14.18,1,Taylor
646b4bb22e277d85aaa61bec,2,Moniebol 🐳 (BUY $ASO),8.545454545454545,…beep…..beep…….beep,3.454545454545454,5.09,12.0,2,Austin
646b4bb22e277d85aaa61bed,2,Vinnie Pepperonis,6.2272727272727275,Movin’ On Up,5.954545454545455,0.27,12.18,3,Kurtis
646b4bb22e277d85aaa61bee,2,…beep…..beep…….beep,3.454545454545454,Moniebol 🐳 (BUY $ASO),8.545454545454545,-5.09,12.0,4,Bryant
646b4bb22e277d85aaa61bef,2,[ABN] Rain,7.409090909090909,#Justice4GallenBird,6.772727272727272,0.64,14.18,5,Greg
646b4bb22e277d85aaa61bf0,2,The Slobberknockers,5.2272727272727275,Camp Lejeune,5.545454545454545,-0.32,10.77,6,Josh
646b4bb22e277d85aaa61bf1,2,Ian Cumsler,5.545454545454546,The Rosterbation Station,9.500000000000002,-3.95,15.05,7,Eric
646b4bb22e277d85aaa61bf2,2,Movin’ On Up,5.954545454545455,Vinnie Pepperonis,6.2272727272727275,-0.27,12.18,8,David
