,Round,Pick,Player,Team
4,14,5.0,Yoán Moncada,Ian Cumsler
5,14,6.0,Justin Turner,Rickie Flower
6,14,7.0,Myles Straw,Grand Salami...
7,14,8.0,Hunter Renfroe,#LagrastaWeek
8,14,9.0,Scott Barlow,The Rosterba...
9,14,10.0,Randal Grichuk,Hooked On Kw...
10,14,11.0,Jorge Soler,$LZ to $15 $...
11,14,12.0,Ty France,¯\_(ツ)_/¯
0,15,1.0,Ke'Bryan Hayes,¯\_(ツ)_/¯
1,15,2.0,Paul Sewald,¯\_(ツ)_/¯
2,15,3.0,Michael Brantley,Hooked On Kw...
3,15,4.0,Adolis García,The Rosterba...
4,15,5.0,Shane Baz,#LagrastaWeek
5,15,6.0,Joe Ryan,Grand Salami...
6,15,7.0,Eduardo Rodriguez,Rickie Flower
7,15,8.0,Yuli Gurriel,Ian Cumsler
8,15,9.0,Adam Duvall,Former 2A Hi...
9,15,10.0,Adam Wainwright,Midas Well
10,15,11.0,Josh Donaldson,SQUEEZE AGS
11,15,12.0,Mitch Garver,Dookie Butts
0,16,1.0,Ryan McMahon,Dookie Butts
1,16,2.0,Luis Garcia,SQUEEZE AGS
2,16,3.0,Christian Vázquez,Midas Well
3,16,4.0,José Urquidy,Former 2A Hi...
4,16,5.0,Nathaniel Lowe,Ian Cumsler
5,16,6.0,Alex Verdugo,Rickie Flower
6,16,7.0,Austin Hays,Grand Salami...
7,16,8.0,Jack Flaherty,#LagrastaWeek
8,16,9.0,Eddie Rosario,The Rosterba...
9,16,10.0,Adley Rutschman,Hooked On Kw...
10,16,11.0,Avisaíl García,$LZ to $15 $...
11,16,12.0,Gleyber Torres,¯\_(ツ)_/¯
0,17,1.0,Spencer Torkelson,¯\_(ツ)_/¯
1,17,2.0,Lucas Sims,$LZ to $15 $...
2,17,3.0,Jonathan Schoop,Hooked On Kw...
3,17,4.0,Ranger Suárez,The Rosterba...
4,17,5.0,Matt Barnes,#LagrastaWeek
5,17,6.0,Tanner Houck,Grand Salami...
6,17,7.0,Eugenio Suárez,Rickie Flower
7,17,8.0,Diego Castillo,Ian Cumsler
8,17,9.0,Logan Gilbert,Hooked On Kw...
9,17,10.0,Chris Flexen,Midas Well
10,17,11.0,Robbie Grossman,SQUEEZE AGS
11,17,12.0,AJ Pollock,Dookie Butts
0,18,1.0,Stephen Strasburg,Dookie Butts
1,18,2.0,Trevor Bauer,SQUEEZE AGS
2,18,3.0,Tyler Matzek,Midas Well
3,18,4.0,Noah Syndergaard,Former 2A Hi...
4,18,5.0,Jo Adell,Ian Cumsler
5,18,6.0,Andrew Benintendi,Rickie Flower
6,18,7.0,Alex Kirilloff,Grand Salami...
7,18,8.0,Tyler Stephenson,#LagrastaWeek
8,18,9.0,Lou Trivino,The Rosterba...
9,18,10.0,Jake McGee,Hooked On Kw...
10,18,11.0,Michael Conforto,$LZ to $15 $...
11,18,12.0,Will Smith,¯\_(ツ)_/¯
